S.No.,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price
4472,Maruti Wagon R VXI,Jaipur,2017,39867,Petrol,Manual,First,22.5 kmpl,998 CC,67.04 bhp,5,5.44 Lakh,4.5
4473,Honda Mobilio E i DTEC,Hyderabad,2014,58972,Diesel,Manual,First,24.2 kmpl,1498 CC,98.6 bhp,7,,6.5
4474,Honda CR-V 2.4 4WD AT,Bangalore,2006,66000,Petrol,Automatic,Second,10.1 kmpl,2354 CC,152 bhp,5,,3.9
4475,Hyundai Verna 1.6 SX VTVT (O),Delhi,2013,52000,Petrol,Manual,First,17.1 kmpl,1591 CC,121.3 bhp,5,,5.25
4476,Hyundai Santa Fe 4x4 AT,Bangalore,2014,58000,Diesel,Automatic,First,11.72 kmpl,2199 CC,194.3 bhp,7,,17
4477,Hyundai i10 Sportz AT,Ahmedabad,2012,58000,Petrol,Automatic,First,16.95 kmpl,1197 CC,78.9 bhp,5,,3.5
4478,Ford Fusion Plus 1.4 TDCi Diesel,Hyderabad,2008,75000,Diesel,Manual,Second,17.7 kmpl,1399 CC,68 bhp,5,,3
4479,Hyundai i10 Sportz,Coimbatore,2015,41008,Petrol,Manual,Second,20.36 kmpl,1197 CC,78.9 bhp,5,,4.87
4480,Hyundai Xcent 1.1 CRDi SX Option,Jaipur,2014,65000,Diesel,Manual,First,24.4 kmpl,1120 CC,71 bhp,5,,6
4481,Skoda Superb Style 2.0 TDI AT,Mumbai,2015,19000,Diesel,Automatic,First,18.19 kmpl,1968 CC,174.5 bhp,5,36.94 Lakh,15.5
4482,Ford Fiesta 1.4 Duratec EXI,Pune,2008,74000,Petrol,Manual,Second,16.6 kmpl,1388 CC,68 bhp,5,,1.6
4483,Maruti Baleno Zeta Automatic,Pune,2017,33000,Petrol,Automatic,First,21.4 kmpl,1197 CC,83.1 bhp,5,,7.25
4484,Skoda Laura 1.9 TDI MT Ambiente,Mumbai,2010,95000,Diesel,Manual,Second,17.0 kmpl,1896 CC,105 bhp,5,,3.25
4485,Volkswagen Vento 1.5 TDI Comfortline,Kolkata,2012,34000,Diesel,Manual,First,20.64 kmpl,1498 CC,108.5 bhp,5,11.16 Lakh,3.4
4486,Audi Q7 3.0 TDI Quattro Technology,Coimbatore,2014,102865,Diesel,Automatic,First,12.07 kmpl,2967 CC,241.4 bhp,7,,30.5
4487,Hyundai Verna VTVT 1.6 SX Option,Kochi,2016,52378,Petrol,Manual,First,17.0 kmpl,1591 CC,121.3 bhp,5,13.6 Lakh,7.97
4488,Mercedes-Benz New C-Class 220 CDI AT,Delhi,2012,38000,Diesel,Automatic,First,14.84 kmpl,2143 CC,170 bhp,5,,13.51
4489,Honda Amaze S i-Dtech,Kochi,2015,60334,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5,,5.43
4490,Ford Fiesta 1.4 Duratec EXI Limited Edition,Chennai,2010,107000,Petrol,Manual,First,16.6 kmpl,1388 CC,68 bhp,5,,2.6
4491,Hyundai i20 Magna Optional 1.2,Bangalore,2013,445000,Petrol,Manual,First,18.5 kmpl,1197 CC,82.9 bhp,5,,4.45
4492,Maruti Alto 800 LXI,Kolkata,2017,2196,Petrol,Manual,First,22.74 kmpl,796 CC,47.3 bhp,5,,2.75
4493,BMW 5 Series 530i Sedan,Kolkata,2010,24000,Petrol,Automatic,First,10.6 kmpl,2996 CC,258 bhp,5,,8.75
4494,Fiat Grande Punto 1.4 Emotion,Coimbatore,2015,44846,Petrol,Manual,Second,14.6 kmpl,1368 CC,88.7 bhp,5,,5.41
4495,Maruti Dzire AMT ZDI Plus,Kochi,2018,64035,Diesel,Automatic,First,28.4 kmpl,1248 CC,73.75 bhp,5,10.7 Lakh,8.55
4496,Mahindra XUV500 W6 2WD,Mumbai,2014,45600,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7,,8.25
4497,Volvo XC90 2007-2015 D5 AT AWD,Kochi,2014,102001,Diesel,Automatic,First,11.1 kmpl,2400 CC,200 bhp,7,,23.58
4498,Hyundai i10 Sportz 1.2,Coimbatore,2014,47439,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5,,4.49
4499,Toyota Fortuner 3.0 Diesel,Hyderabad,2010,193254,Diesel,Manual,First,11.5 kmpl,2982 CC,171 bhp,7,,12.99
4500,Tata Nano XTA,Bangalore,2016,29000,Petrol,Automatic,First,21.9 kmpl,624 CC,37.48 bhp,4,,2.8
4501,Renault Lodgy 110PS RxZ 8 Seater,Coimbatore,2016,51681,Diesel,Manual,First,19.98 kmpl,1461 CC,108.5 bhp,8,,8.43
4502,Audi Q7 3.0 TDI Quattro Premium Plus,Hyderabad,2015,50000,Diesel,Automatic,First,12.07 kmpl,2967 CC,241.4 bhp,7,,47.5
4503,Honda City i VTEC CVT VX,Mumbai,2016,42666,Petrol,Automatic,First,18.0 kmpl,1497 CC,117.3 bhp,5,,8.95
4504,Renault Duster 110PS Diesel RxL,Jaipur,2013,65000,Diesel,Manual,Second,19.01 kmpl,1461 CC,108.45 bhp,5,,5.5
4505,Honda Amaze S i-VTEC,Jaipur,2014,18776,Petrol,Manual,First,17.8 kmpl,1198 CC,86.7 bhp,5,,4.75
4506,Honda Amaze S i-Vtech,Jaipur,2016,6714,Petrol,Manual,First,18.0 kmpl,1198 CC,86.7 bhp,5,,4.75
4507,BMW 3 Series 320i,Pune,2009,40000,Petrol,Automatic,Second,12.05 kmpl,1995 CC,154 bhp,5,,9.5
4508,Maruti Ritz LDi,Coimbatore,2011,88539,Diesel,Manual,First,23.2 kmpl,1248 CC,73.94 bhp,5,,3.77
4509,Honda City 1.5 S MT,Delhi,2012,65055,Petrol,Manual,Second,17.0 kmpl,1497 CC,118 bhp,5,,4.25
4510,BMW 3 Series 320d Sport Line,Mumbai,2014,23000,Diesel,Automatic,First,18.88 kmpl,1995 CC,184 bhp,5,,19.9
4511,Volkswagen Jetta 2007-2011 1.9 TDI Trendline,Chennai,2009,60000,Diesel,Manual,First,15.0 kmpl,1896 CC,105 bhp,5,,4
4512,Maruti Swift Dzire LXI,Kochi,2013,59350,Petrol,Manual,First,19.1 kmpl,1197 CC,85.8 bhp,5,,4.16
4513,Jaguar XF 2.2 Litre Executive,Bangalore,2015,19000,Diesel,Automatic,Second,16.36 kmpl,2179 CC,187.7 bhp,5,,38
4514,Hyundai Xcent 1.2 Kappa AT SX Option,Kochi,2016,45560,Petrol,Automatic,First,16.9 kmpl,1197 CC,82 bhp,5,,6.34
4515,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Pune,2009,118000,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,8,,4.5
4516,Maruti Eeco 7 Seater Standard,Chennai,2016,55000,Petrol,Manual,First,15.1 kmpl,1196 CC,73 bhp,7,4.87 Lakh,3.75
4517,Audi A4 New 2.0 TDI Multitronic,Delhi,2012,60000,Diesel,Automatic,Second,15.2 kmpl,1968 CC,140.8 bhp,5,,10.2
4518,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Chennai,2007,145000,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,8,,5
4519,Maruti Grand Vitara MT,Mumbai,2008,46810,Petrol,Manual,First,9.8 kmpl,1995 CC,163.5 bhp,5,,3.95
4520,Volkswagen Vento 1.5 TDI Highline,Coimbatore,2016,62767,Diesel,Manual,First,20.34 kmpl,1498 CC,103.2 bhp,5,,9.75
4521,Hyundai Elite i20 Petrol Asta,Kochi,2018,18553,Petrol,Manual,First,18.6 kmpl,1197 CC,81.86 bhp,5,,7.93
4522,Ford Fiesta Classic 1.4 Duratorq CLXI,Hyderabad,2011,143143,Diesel,Manual,First,17.8 kmpl,1399 CC,67 bhp,5,,2.1
4523,Mitsubishi Pajero Sport 4X4,Coimbatore,2015,53497,Diesel,Manual,First,13.5 kmpl,2477 CC,175.56 bhp,7,34.6 Lakh,16.42
4524,Hyundai Santa Fe 4X4,Bangalore,2011,148000,Diesel,Manual,Second,14.66 kmpl,2199 CC,194.3 bhp,7,,8.9
4525,Mahindra XUV500 W8 2WD,Pune,2012,95000,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7,,7.21
4526,Toyota Innova 2.5 V Diesel 8-seater,Chennai,2015,100000,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,8,,13.5
4527,Mercedes-Benz GLE 350d,Chennai,2016,29000,Diesel,Automatic,First,11.57 kmpl,2987 CC,254.79 bhp,5,92.79 Lakh,65
4528,Mahindra Scorpio 2009-2014 SLE 7S BSIV,Bangalore,2014,87000,Diesel,Manual,First,12.05 kmpl,2179 CC,120 bhp,7,,7.4
4529,Honda City 1.5 S AT,Kochi,2014,56838,Petrol,Automatic,First,16.8 kmpl,1497 CC,118 bhp,5,,5.15
4530,Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,Pune,2013,100000,Diesel,Automatic,First,12.0 kmpl,2987 CC,224 bhp,7,,32
4531,Honda City 1.5 S MT,Kolkata,2011,125000,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5,,3.25
4532,Maruti Wagon R VXI AMT,Kolkata,2017,17000,Petrol,Automatic,First,22.5 kmpl,998 CC,67 bhp,5,5.8 Lakh,3.95
4533,Tata Indigo eCS GLE BSIII,Pune,2013,70000,Petrol,Manual,Second,15.4 kmpl,1193 CC,65 bhp,5,,1.5
4534,Hyundai i20 2015-2017 1.2 Asta with AVN,Pune,2010,50000,Petrol,Manual,Second,17.0 kmpl,1197 CC,80 bhp,5,,3
4535,Honda Jazz Active,Kolkata,2010,39800,Petrol,Manual,First,16.0 kmpl,1198 CC,90 bhp,5,,1.99
4536,Maruti A-Star Lxi,Kolkata,2010,60000,Petrol,Manual,First,19.0 kmpl,998 CC,66.1 bhp,5,,1.35
4537,BMW 3 Series 320d Highline,Hyderabad,2009,58000,Diesel,Automatic,First,16.07 kmpl,1995 CC,181 bhp,5,,13.5
4538,Skoda Yeti Elegance,Hyderabad,2010,110009,Diesel,Manual,First,17.67 kmpl,1968 CC,138.08 bhp,5,,6.99
4539,Nissan Terrano XV Premium 110 PS,Hyderabad,2013,85000,Diesel,Manual,First,19.01 kmpl,1461 CC,108.5 bhp,5,,8.5
4540,Volkswagen Polo Diesel Comfortline 1.2L,Pune,2010,84000,Diesel,Manual,Second,22.07 kmpl,1199 CC,73.9 bhp,5,,2.89
4541,BMW 3 Series 320d,Mumbai,2011,51000,Diesel,Automatic,First,22.69 kmpl,1995 CC,190 bhp,5,47.87 Lakh,10.5
4542,Nissan Sunny 2011-2014 XL,Kochi,2013,68880,Petrol,Manual,First,16.95 kmpl,1498 CC,97.7 bhp,5,,3.97
4543,Maruti Alto K10 VXI AGS,Chennai,2017,5500,Petrol,Automatic,First,24.07 kmpl,998 CC,67.1 bhp,5,,4.25
4544,Maruti Ritz ZXI,Coimbatore,2016,40052,Petrol,Manual,First,21.1 kmpl,1197 CC,85.80 bhp,5,,6.17
4545,Audi Q5 30 TDI quattro Premium Plus,Coimbatore,2016,47293,Diesel,Automatic,First,14.16 kmpl,1968 CC,174.3 bhp,5,,38.72
4546,Hyundai Verna CRDi SX,Hyderabad,2013,79663,Diesel,Manual,First,16.8 kmpl,1493 CC,110 bhp,5,,6.5
4547,Honda Amaze S i-Dtech,Jaipur,2013,63000,Diesel,Manual,Second,25.8 kmpl,1498 CC,98.6 bhp,5,,4.25
4548,Honda City i DTEC SV,Kolkata,2014,45000,Diesel,Manual,First,26.0 kmpl,1498 CC,98.6 bhp,5,,4.75
4549,Toyota Fortuner TRD Sportivo 2.8 2WD AT,Kochi,2014,56501,Diesel,Automatic,First,12.9 kmpl,2755 CC,174.5 bhp,7,,17.71
4550,Volkswagen Vento 1.5 TDI Highline,Jaipur,2015,58000,Diesel,Manual,First,20.34 kmpl,1498 CC,103.2 bhp,5,,5.85
4551,BMW 5 Series 520d Luxury Line,Coimbatore,2011,51602,Diesel,Automatic,First,22.48 kmpl,1995 CC,190 bhp,5,63.71 Lakh,17.27
4552,BMW 3 Series 320d Sedan,Hyderabad,2007,74199,Diesel,Automatic,First,16.07 kmpl,1995 CC,181 bhp,5,,9.25
4553,Hyundai Creta 1.6 SX Plus Petrol Automatic,Ahmedabad,2017,25000,Petrol,Automatic,First,13.0 kmpl,1591 CC,121.3 bhp,5,,12.75
4554,BMW 3 Series Luxury Line,Pune,2016,70000,Diesel,Automatic,Second,21.76 kmpl,1995 CC,190 bhp,5,62.11 Lakh,27
4555,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,2013,25000,Diesel,Automatic,Second,14.84 kmpl,2143 CC,167.62 bhp,5,,21
4556,Maruti Swift Dzire VDI,Hyderabad,2017,22000,Diesel,Manual,First,26.59 kmpl,1248 CC,74 bhp,5,,7.95
4557,Maruti Celerio ZXI,Hyderabad,2015,47020,Petrol,Manual,Second,23.1 kmpl,998 CC,67.04 bhp,5,,4.5
4558,BMW 3 Series 320d GT Luxury Line,Mumbai,2017,8000,Diesel,Automatic,First,19.59 kmpl,1995 CC,187.74 bhp,5,,33.75
4559,Audi Q7 4.2 TDI Quattro Technology,Delhi,2010,73000,Diesel,Automatic,First,11.33 kmpl,4134 CC,335.2 bhp,7,,17.51
4560,Honda Jazz V,Kochi,2017,36973,Petrol,Manual,First,18.2 kmpl,1199 CC,88.7 bhp,5,8.71 Lakh,6.8
4561,Tata Nano Cx BSIV,Coimbatore,2014,42083,Petrol,Manual,First,25.4 kmpl,624 CC,37.48 bhp,4,,1.68
4562,Maruti Alto 800 2016-2019 LXI,Chennai,2016,61000,Petrol,Manual,First,24.7 kmpl,796 CC,47.3 bhp,5,,2.9
4563,Maruti Wagon R VXI,Mumbai,2014,43628,Petrol,Manual,First,22.5 kmpl,998 CC,67.04 bhp,5,5.61 Lakh,3.16
4564,Hyundai Xcent 1.1 CRDi Base,Jaipur,2014,60000,Diesel,Manual,First,24.4 kmpl,1120 CC,71 bhp,5,,3.9
4565,Chevrolet Beat LT,Delhi,2010,54000,Petrol,Manual,Second,17.8 kmpl,1199 CC,76.8 bhp,5,,1.95
4566,Jaguar XF 2.2 Litre Luxury,Kochi,2015,27001,Diesel,Automatic,First,16.36 kmpl,2179 CC,187.7 bhp,5,,26.52
4567,Volkswagen Passat Diesel Highline 2.0 TDI,Chennai,2010,52000,Diesel,Automatic,First,18.33 kmpl,1968 CC,167.7 bhp,5,,9
4568,Hyundai i20 Asta 1.4 CRDi,Hyderabad,2012,80000,Diesel,Manual,First,21.27 kmpl,1396 CC,88.76 bhp,5,,4.5
4569,Mitsubishi Pajero 2.8 SFX,Chennai,2008,160000,Diesel,Manual,First,10.5 kmpl,2835 CC,107.2 bhp,6,,8.75
4570,Maruti Vitara Brezza ZDi Plus AMT Dual Tone,Chennai,2018,3300,Diesel,Automatic,First,24.3 kmpl,1248 CC,88.5 bhp,5,12.88 Lakh,11.5
4571,Maruti Alto K10 LXI,Delhi,2016,35027,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5,3.91 Lakh,3
4572,Hyundai EON Magna Plus,Coimbatore,2015,26568,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5,,3.79
4573,Maruti Ciaz VDi Plus SHVS,Ahmedabad,2015,59000,Diesel,Manual,First,28.09 kmpl,1248 CC,88.5 bhp,5,,6
4574,Hyundai Creta 1.6 CRDi SX Option,Bangalore,2016,51000,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,5,,13.25
4575,Skoda Superb Ambition 2.0 TDI CR AT,Delhi,2012,56400,Diesel,Automatic,First,17.2 kmpl,1968 CC,138.1 bhp,5,,8
4576,Volkswagen Polo 1.5 TDI Highline,Hyderabad,2015,80000,Diesel,Manual,First,20.14 kmpl,1498 CC,88.8 bhp,5,,5.8
4577,BMW 5 Series 520d Sedan,Delhi,2012,72000,Diesel,Automatic,Third,18.48 kmpl,,,,,13.85
4578,Toyota Innova 2.5 VX (Diesel) 7 Seater,Hyderabad,2013,107000,Diesel,Manual,Second,12.99 kmpl,2494 CC,100.6 bhp,7,,13.5
4579,Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance,Pune,2014,100000,Diesel,Automatic,First,14.21 kmpl,2143 CC,203 bhp,5,,25
4580,Volkswagen Polo 1.5 TDI Highline,Kochi,2016,59998,Diesel,Manual,First,20.14 kmpl,1498 CC,88.8 bhp,5,,5.49
4581,Audi Q3 2.0 TDI,Hyderabad,2013,105000,Diesel,Automatic,First,17.32 kmpl,1968 CC,150 bhp,5,,19
4582,Hyundai i20 1.2 Magna,Kolkata,2011,36000,Petrol,Manual,First,18.5 kmpl,1197 CC,80 bhp,5,,2.5
4583,Hyundai i10 Sportz 1.1L,Kolkata,2015,24350,Petrol,Manual,Second,19.81 kmpl,1086 CC,68.05 bhp,5,,3
4584,Tata Tigor 1.05 Revotorq XT,Kochi,2018,28973,Diesel,Manual,First,24.7 kmpl,1047 CC,69 bhp,5,,6.64
4585,Hyundai EON Era,Kochi,2017,8243,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5,,3.21
4586,Hyundai Santro Xing GLS,Chennai,2009,136642,Petrol,Manual,Second,17.92 kmpl,1086 CC,62.1 bhp,5,,1.55
4587,Hyundai Santro Xing GLS,Hyderabad,2011,60000,Petrol,Manual,First,17.92 kmpl,1086 CC,62.1 bhp,5,,2.59
4588,Mahindra Scorpio SLX,Chennai,2008,100000,Diesel,Manual,Second,12.7 kmpl,2609 CC,120 bhp,8,,4
4589,Honda City i-VTEC S,Jaipur,2010,48689,Petrol,Manual,First,17.4 kmpl,1497 CC,117.3 bhp,5,,3.87
4590,Maruti Vitara Brezza ZDi,Bangalore,2017,45000,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5,11 Lakh,9.75
4591,Audi A4 35 TDI Technology Edition,Kochi,2019,38163,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5,,32.91
4592,Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance,Chennai,2011,43800,Diesel,Automatic,Second,14.21 kmpl,2143 CC,203 bhp,5,,16.75
4593,Honda Civic 2006-2010 1.8 MT Sport,Jaipur,2007,92000,Petrol,Manual,First,13.5 kmpl,1799 CC,130 bhp,5,,1.9
4594,Hyundai i20 Magna 1.2,Kochi,2017,14064,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5,,6.59
4595,Audi Q3 35 TDI Quattro Premium Plus,Coimbatore,2017,42366,Diesel,Automatic,First,15.73 kmpl,1968 CC,174.33 bhp,5,,31.93
4596,Honda City i DTEC VX,Jaipur,2014,76551,Diesel,Manual,First,25.1 kmpl,1498 CC,98.6 bhp,5,,7.25
4597,Hyundai i10 Era 1.1 iTech SE,Pune,2008,72672,Petrol,Manual,First,19.81 kmpl,1086 CC,68.05 bhp,5,,1.9
4598,Maruti Swift VDI BSIV,Kolkata,2015,45000,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,5,,3.55
4599,Ford Endeavour 3.0L 4X4 AT,Hyderabad,2012,91696,Diesel,Automatic,First,11.4 kmpl,2953 CC,153.86 bhp,7,,9.25
4600,Ford Ikon 1.3 Flair,Kochi,2009,66484,Petrol,Manual,First,13.8 kmpl,1299 CC,70 bhp,5,,1.65
4601,BMW X1 sDrive 20d xLine,Coimbatore,2019,15456,Diesel,Automatic,First,20.68 kmpl,1995 CC,190 bhp,5,48.18 Lakh,36.64
4602,Mercedes-Benz E-Class 2009-2013 E250 CDI Classic,Mumbai,2011,55000,Diesel,Automatic,Second,14.21 kmpl,2143 CC,203 bhp,5,,16
4603,Maruti Eeco 5 STR With AC Plus HTR CNG,Kochi,2019,21112,CNG,Manual,First,15.1 km/kg,1196 CC,73 bhp,5,,5.38
4604,Honda Jazz Select Edition,Pune,2011,98000,Petrol,Manual,First,16.7 kmpl,,,,,3.15
4605,Honda Amaze S i-Dtech,Ahmedabad,2014,61297,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5,,4.35
4606,Maruti Zen LXi - BS III,Hyderabad,2006,80000,Petrol,Manual,Second,17.3 kmpl,993 CC,60 bhp,5,,1.2
4607,Hyundai i20 Magna,Jaipur,2013,59000,Petrol,Manual,Second,18.5 kmpl,1197 CC,80 bhp,5,,4.1
4608,BMW X5 3.0d,Chennai,2009,150000,Diesel,Automatic,First,11.0 kmpl,2993 CC,235 bhp,5,,18.75
4609,Hyundai Creta 1.6 CRDi SX Option,Coimbatore,2017,60083,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,5,,13.78
4610,Maruti Swift Dzire LDI,Kolkata,2016,85450,Diesel,Manual,First,26.59 kmpl,1248 CC,74 bhp,5,,4
4611,Maruti Swift VDI,Jaipur,2013,88000,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5,,4.33
4612,Hyundai Grand i10 1.2 CRDi Asta,Kochi,2015,81828,Diesel,Manual,First,24.0 kmpl,1186 CC,73.97 bhp,5,8.68 Lakh,5.43
4613,Ford Figo Aspire 1.2 Ti-VCT Trend,Mumbai,2016,18000,Petrol,Manual,First,18.16 kmpl,1196 CC,86.8 bhp,5,,4.9
4614,BMW X5 X5 M,Chennai,2017,15000,Diesel,Automatic,First,15.97 kmpl,2993 CC,258 bhp,5,,70
4615,Mercedes-Benz New C-Class C 220 CDI Celebration Edition,Kolkata,2016,34000,Diesel,Automatic,First,11.78 kmpl,2143 CC,167.62 bhp,5,,25.5
4616,Hyundai Grand i10 AT Asta,Ahmedabad,2015,46000,Petrol,Automatic,First,18.9 kmpl,1197 CC,82 bhp,5,,5.1
4617,Hyundai Verna 1.6 SX CRDi (O),Hyderabad,2013,48158,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5,,6.7
4618,BMW 5 Series 525d Sedan,Hyderabad,2013,93000,Diesel,Automatic,First,16.73 kmpl,2993 CC,218 bhp,5,,26.5
4619,Nissan Micra Diesel XV Premium,Ahmedabad,2013,71007,Diesel,Manual,First,23.08 kmpl,1461 CC,63.1 bhp,5,,3.9
4620,Maruti SX4 ZXI MT BSIV,Pune,2010,63067,Petrol,Manual,Second,15.5 kmpl,1586 CC,103.3 bhp,5,,2.7
4621,Tata Manza Aura Quadrajet BS IV,Hyderabad,2011,70259,Diesel,Manual,First,21.12 kmpl,1248 CC,88.8 bhp,5,,2.95
4622,Audi A4 2.0 TDI Multitronic,Ahmedabad,2015,13000,Diesel,Automatic,First,16.55 kmpl,1968 CC,140 bhp,5,,23
4623,Maruti Swift Ldi BSIV,Pune,2009,140000,Diesel,Manual,Second,17.8 kmpl,1248 CC,75 bhp,5,,2.49
4624,Maruti Swift LDI Optional,Jaipur,2015,130000,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,5,,4.5
4625,Toyota Corolla Altis Diesel D4DJ,Delhi,2011,89401,Diesel,Manual,First,21.43 kmpl,1364 CC,87.2 bhp,5,,4.5
4626,Honda Jazz 1.5 VX i DTEC,Hyderabad,2015,67000,Diesel,Manual,First,27.3 kmpl,1498 CC,98.6 bhp,5,,6.9
4627,BMW 6 Series 650i Coupe,Kochi,2010,65329,Petrol,Automatic,First,7.94 kmpl,4395 CC,450 bhp,4,,20.72
4628,Skoda Fabia 1.2 Petrol Active,Jaipur,2010,72000,Petrol,Manual,First,16.25 kmpl,1198 CC,73.9 bhp,5,,2.21
4629,Fiat Siena 1.2 ELX,Jaipur,2001,70000,Petrol,Manual,Third,0.0 kmpl,1242 CC,null bhp,5,,0.55
4630,Land Rover Freelander 2 HSE,Mumbai,2011,82000,Diesel,Automatic,Second,12.35 kmpl,2179 CC,187.74 bhp,5,,13.9
4631,Ford Fiesta 1.6 ZXi Duratec,Pune,2010,85000,Petrol,Manual,First,15.3 kmpl,1596 CC,101 bhp,5,,1.46
4632,Hyundai Verna SX CRDi AT,Pune,2012,83000,Diesel,Automatic,First,19.08 kmpl,1582 CC,126.32 bhp,5,,6
4633,Renault KWID 1.0 RXT Optional,Jaipur,2016,26000,Petrol,Manual,First,21.7 kmpl,999 CC,67 bhp,5,4.78 Lakh,3
4634,Tata Indica Vista Quadrajet 90 ZX Plus,Delhi,2012,27000,Diesel,Manual,First,22.3 kmpl,1248 CC,88.8 bhp,5,,3.5
4635,Hyundai i20 Active 1.4 SX,Kochi,2018,37746,Diesel,Manual,First,21.19 kmpl,1396 CC,88.73 bhp,5,,7.59
4636,Maruti SX4 Zxi BSIII,Mumbai,2009,63274,Petrol,Manual,Second,15.0 kmpl,1586 CC,104.68 bhp,5,,1.99
4637,Renault KWID RXT,Hyderabad,2016,25000,Petrol,Manual,First,25.17 kmpl,799 CC,53.3 bhp,5,,3.8
4638,Mahindra Xylo E4 ABS BS III,Bangalore,2013,197000,Diesel,Manual,First,11.68 kmpl,2498 CC,112 bhp,7,,4
4639,Hyundai EON D Lite Plus,Bangalore,2013,45010,Petrol,Manual,Second,21.1 kmpl,814 CC,55.2 bhp,5,,2.95
4640,Honda Amaze VX i-DTEC,Delhi,2013,75348,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5,,3.75
4641,Volkswagen Polo Diesel Highline 1.2L,Kolkata,2010,90110,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,,2.5
4642,Honda City 1.5 V MT,Pune,2011,102013,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5,,3.75
4643,Toyota Fortuner 4x2 AT,Pune,2015,36000,Diesel,Automatic,First,12.55 kmpl,2982 CC,168.5 bhp,7,,22
4644,Honda Amaze E i-Vtech,Kochi,2017,37578,Petrol,Manual,First,18.0 kmpl,1198 CC,86.7 bhp,5,,6.14
4645,BMW 1 Series 118d Base,Pune,2015,46001,Diesel,Automatic,First,20.58 kmpl,1995 CC,143 bhp,5,,16
4646,Maruti Celerio VXI AT,Hyderabad,2014,46559,Petrol,Automatic,First,23.1 kmpl,998 CC,67.04 bhp,5,,3.75
4647,Toyota Innova 2.5 GX (Diesel) 8 Seater,Mumbai,2015,48000,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,8,,11.75
4648,Jaguar XF 2.2 Litre Luxury,Pune,2013,46000,Diesel,Automatic,Second,16.36 kmpl,2179 CC,187.7 bhp,5,,24
4649,Honda WRV i-VTEC VX,Hyderabad,2017,15000,Petrol,Manual,First,17.5 kmpl,1199 CC,88.7 bhp,5,10.83 Lakh,8.9
4650,BMW X1 sDrive20d,Chennai,2012,85000,Diesel,Automatic,Third,17.05 kmpl,1995 CC,184 bhp,5,,10
4651,Skoda Rapid 1.6 MPI AT Elegance,Mumbai,2014,32000,Petrol,Automatic,First,14.3 kmpl,1598 CC,103.5 bhp,5,,5.55
4652,Volkswagen Vento 1.6 Comfortline,Kochi,2012,60818,Petrol,Manual,First,16.09 kmpl,1598 CC,103.5 bhp,5,11.05 Lakh,3.59
4653,Ford EcoSport 1.5 TDCi Trend Plus BE,Coimbatore,2019,35188,Diesel,Manual,First,22.77 kmpl,1498 CC,98.59 bhp,5,,11.13
4654,Mahindra XUV500 W6 2WD,Jaipur,2012,110000,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7,,7.2
4655,Ford Fiesta Classic 1.4 Duratorq LXI,Mumbai,2014,61000,Diesel,Manual,First,18.6 kmpl,1388 CC,67 bhp,5,,2.98
4656,Hyundai Santro Xing GLS,Pune,2010,75000,Petrol,Manual,Second,17.92 kmpl,1086 CC,62.1 bhp,5,,1.7
4657,Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,Delhi,2015,55000,Diesel,Automatic,First,12.0 kmpl,2987 CC,224 bhp,7,,52
